,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
653,Maruti,Baleno,DELTA PETROL 1.2,2018,576000,Petrol,Manual,38495,1,Hatchback,3686,8,Mid-Range
654,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,2022,700000,Petrol,Manual,54388,1,Sedan,3686,4,Mid-Range
655,Maruti,Baleno,ALPHA PETROL 1.2,2016,450000,Petrol,Manual,95000,2,Hatchback,3686,10,Mid-Range
656,Maruti,S PRESSO,VXI+,2022,406000,Petrol,Manual,31173,2,Hatchback,3686,4,Mid-Range
657,Maruti,BREZZA,ZXI SMART HYBRID ,2023,1086000,Petrol,Manual,32702,1,SUV,3686,3,Premium
658,Maruti,S Cross,ZETA 1.5,2021,690000,Petrol,Manual,71084,1,SUV,3686,5,Mid-Range
659,Maruti,Ertiga,VDI SHVS,2016,529000,Diesel,Manual,131160,2,SUV,3686,10,Mid-Range
660,Maruti,Ertiga,ZDI SHVS,2016,633000,Diesel,Manual,208487,1,SUV,3686,10,Mid-Range
661,Maruti,Baleno,ZETA PETROL 1.2,2021,536000,Petrol,Manual,96676,2,Hatchback,3686,5,Mid-Range
662,Maruti,Baleno,DELTA DIESEL 1.3,2016,489000,Diesel,Manual,72882,1,Hatchback,3686,10,Mid-Range
663,Maruti,Baleno,ALPHA PETROL 1.2,2018,519000,Petrol,Manual,52320,1,Hatchback,3686,8,Mid-Range
664,Maruti,Ertiga,ZDI,2014,458000,Diesel,Manual,112873,2,SUV,3686,12,Mid-Range
665,Maruti,S Cross,ZETA 1.3,2016,508000,Diesel,Manual,123551,1,SUV,3686,10,Mid-Range
666,Maruti,Ertiga,ZXI+,2016,600000,Petrol,Manual,54728,1,SUV,3686,10,Mid-Range
667,Maruti,XL6,ZETA MT,2023,1000000,Petrol,Manual,26498,2,SUV,3686,3,Premium
668,Maruti,Swift Dzire,ZDI,2013,429000,Diesel,Manual,61257,1,Sedan,3686,13,Mid-Range
669,Maruti,BREZZA,VXI SMART HYBRID,2023,850000,Petrol,Manual,107938,2,SUV,3686,3,Premium
670,Maruti,Celerio,ZXI PLUS,2022,554000,Petrol,Manual,11240,1,Hatchback,3686,4,Mid-Range
671,Maruti,Swift,VXI,2013,297000,Petrol,Manual,115316,2,Hatchback,3686,13,Budget
672,Maruti,Ertiga,VDI,2015,541000,Diesel,Manual,97666,2,SUV,3686,11,Mid-Range
673,Maruti,Baleno,DELTA PETROL 1.2,2016,421000,Petrol,Manual,128879,1,Hatchback,3686,10,Mid-Range
674,Maruti,Baleno,DELTA PETROL 1.2,2021,476000,Petrol,Manual,129411,1,Hatchback,3686,5,Mid-Range
675,Maruti,Vitara Brezza,ZDI,2019,792000,Diesel,Manual,64833,2,SUV,3686,7,Premium
676,Maruti,New Wagon-R,VXI 1.0,2021,400000,Petrol,Manual,67600,2,Hatchback,3686,5,Mid-Range
677,Maruti,Dzire,ZDI PLUS AMT,2017,637000,Diesel,Automatic,76000,2,Sedan,3686,9,Mid-Range
678,Maruti,Baleno,ZETA PETROL 1.2,2021,597000,Petrol,Manual,69693,1,Hatchback,3686,5,Mid-Range
679,Maruti,New Wagon-R,VXI 1.0,2023,519000,Petrol,Manual,4472,1,Hatchback,3686,3,Mid-Range
680,Maruti,Vitara Brezza,LDI (O),2016,526000,Diesel,Manual,74390,1,SUV,3686,10,Mid-Range
681,Maruti,Celerio,ZXI PLUS,2022,531000,Petrol,Manual,27288,1,Hatchback,3686,4,Mid-Range
682,Maruti,Vitara Brezza,ZDI AMT,2019,900000,Diesel,Automatic,74421,2,SUV,3686,7,Premium
683,Maruti,Vitara Brezza,ZDI,2019,674000,Diesel,Manual,108518,1,SUV,3686,7,Mid-Range
684,Maruti,BREZZA,ZXI + SMART HYBRID,2022,1211000,Petrol,Manual,73731,1,SUV,3686,4,Premium
685,Maruti,Grand Vitara,DELTA SMART HYBRID,2023,1026000,Petrol,Manual,63000,1,SUV,3686,3,Premium
686,Maruti,Vitara Brezza,ZDI,2016,550000,Diesel,Manual,244699,1,SUV,3686,10,Mid-Range
687,Maruti,Vitara Brezza,ZDI,2016,717000,Diesel,Manual,140200,1,SUV,3686,10,Premium
